sample_index,day,disintegration,max_L,t0,k0
1,54,2.356367039589663e-05,9.519247,149.1122,0.13572515397335033
1,55,2.6989041954460975e-05,9.519247,149.1122,0.13572515397335033
1,56,3.091234664548144e-05,9.519247,149.1122,0.13572515397335033
1,57,3.5405966595341796e-05,9.519247,149.1122,0.13572515397335033
1,58,4.055280561209458e-05,9.519247,149.1122,0.13572515397335033
1,59,4.644781859942898e-05,9.519247,149.1122,0.13572515397335033
1,60,5.319976326838773e-05,9.519247,149.1122,0.13572515397335033
1,61,6.093320645266668e-05,9.519247,149.1122,0.13572515397335033
1,62,6.979082202674857e-05,9.519247,149.1122,0.13572515397335033
1,63,7.993602280093975e-05,9.519247,149.1122,0.13572515397335033
1,64,9.155597492237674e-05,9.519247,149.1122,0.13572515397335033
1,65,0.00010486505035930777,9.519247,149.1122,0.13572515397335033
1,66,0.00012010878111681139,9.519247,149.1122,0.13572515397335033
1,67,0.00013756838807363691,9.519247,149.1122,0.13572515397335033
1,68,0.00015756596791140955,9.519247,149.1122,0.13572515397335033
1,69,0.00018047043372278646,9.519247,149.1122,0.13572515397335033
1,70,0.00020670431875585577,9.519247,149.1122,0.13572515397335033
1,71,0.00023675156863150223,9.519247,149.1122,0.13572515397335033
1,72,0.00027116646554824886,9.519247,149.1122,0.13572515397335033
1,73,0.00031058384879621205,9.519247,149.1122,0.13572515397335033
1,74,0.0003557308197164183,9.519247,149.1122,0.13572515397335033
1,75,0.00040744014649563335,9.519247,149.1122,0.13572515397335033
1,76,0.00046666561537302956,9.519247,149.1122,0.13572515397335033
1,77,0.0005344996105158,9.519247,149.1122,0.13572515397335033
1,78,0.000612193245637566,9.519247,149.1122,0.13572515397335033
1,79,0.0007011794171168267,9.519247,149.1122,0.13572515397335033
1,80,0.0008030992017548117,9.519247,149.1122,0.13572515397335033
1,81,0.0009198320833394391,9.519247,149.1122,0.13572515397335033
1,82,0.00105353056193028,9.519247,149.1122,0.13572515397335033
1,83,0.001206659779469376,9.519247,149.1122,0.13572515397335033
1,84,0.0013820428863382146,9.519247,149.1122,0.13572515397335033
1,85,0.0015829129773880497,9.519247,149.1122,0.13572515397335033
1,86,0.0018129725445375044,9.519247,149.1122,0.13572515397335033
1,87,0.002076461528250871,9.519247,149.1122,0.13572515397335033
1,88,0.0023782352043223817,9.519247,149.1122,0.13572515397335033
1,89,0.002723853317904999,9.519247,149.1122,0.13572515397335033
1,90,0.003119682076437407,9.519247,149.1122,0.13572515397335033
1,91,0.003573010840151114,9.519247,149.1122,0.13572515397335033
1,92,0.004092185606618911,9.519247,149.1122,0.13572515397335033
1,93,0.004686761678109756,9.519247,149.1122,0.13572515397335033
1,94,0.005367678231450747,9.519247,149.1122,0.13572515397335033
1,95,0.006147457884088433,9.519247,149.1122,0.13572515397335033
1,96,0.00704043477179079,9.519247,149.1122,0.13572515397335033
1,97,0.008063015127846457,9.519247,149.1122,0.13572515397335033
