test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,property_value,error,thickness
28,3,random_sample_3,"['PLA Ingeo 4032D', 'PHB Green Planet™ PHBH', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3297929111904328, PHB, Green Planet™ PHBH, 0.4038824319950511, PHA, PHACT A1000P, 0.266324656814516",True,42.36055896255631,,50.0
29,3,equal,"['PLA Ingeo 4032D', 'PHB Green Planet™ PHBH', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.3333333333333333, PHB, Green Planet™ PHBH, 0.3333333333333333, PHA, PHACT S1000P, 0.3333333333333333",True,42.037209121448264,,50.0
30,3,random_sample_1,"['PLA Ingeo 4032D', 'PHB Green Planet™ PHBH', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.2660605900410411, PHB, Green Planet™ PHBH, 0.3491675213874631, PHA, PHACT S1000P, 0.3847718885714958",True,42.31639312284834,,50.0
31,3,random_sample_2,"['PLA Ingeo 4032D', 'PHB Green Planet™ PHBH', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.2975582495774214, PHB, Green Planet™ PHBH, 0.3297121120736458, PHA, PHACT S1000P, 0.3727296383489328",True,41.44727290713171,,50.0
32,3,random_sample_3,"['PLA Ingeo 4032D', 'PHB Green Planet™ PHBH', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4032D, 0.09167146881612694, PHB, Green Planet™ PHBH, 0.3620888768131456, PHA, PHACT S1000P, 0.5462396543707274",True,38.3199904962426,,50.0
33,3,equal,"['PLA Ingeo 4043D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3333333333333333, PHB, BIOCYCLE® 1000, 0.3333333333333333, PHA, PHACT A1000P, 0.3333333333333333",True,40.98649181956155,,50.0
34,3,random_sample_1,"['PLA Ingeo 4043D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.25788657796256353, PHB, BIOCYCLE® 1000, 0.33253803933604675, PHA, PHACT A1000P, 0.40957538270138966",True,40.210066770872245,,50.0
35,3,random_sample_2,"['PLA Ingeo 4043D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.49378330882607885, PHB, BIOCYCLE® 1000, 0.023391082262882407, PHA, PHACT A1000P, 0.48282560891103865",True,46.188326893968835,,50.0
36,3,random_sample_3,"['PLA Ingeo 4043D', 'PHB BIOCYCLE® 1000', 'PHA PHACT A1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3601206944110743, PHB, BIOCYCLE® 1000, 0.29246157614901336, PHA, PHACT A1000P, 0.3474177294399124",True,39.93303511412306,,50.0
37,3,equal,"['PLA Ingeo 4043D', 'PHB BIOCYCLE® 1000', 'PHA PHACT S1000P']","['PLA', 'PHB', 'PHA']","PLA, Ingeo 4043D, 0.3333333333333333, PHB, BIOCYCLE® 1000, 0.3333333333333333, PHA, PHACT S1000P, 0.3333333333333333",True,42.31106484396352,,50.0
