blend_id,blend_materials,blend_grades,blend_ratios,blend_input,thickness,ts,error,temperature,rh
6,"[np.str_('PBAT'), np.str_('PCL')]","['ecoflex® F Blend C1200', 'Capa 6500']","[0.7177569387656424, 0.28224306123435755]","PBAT, ecoflex® F Blend C1200, 0.7177569387656424, PCL, Capa 6500, 0.28224306123435755",80,31.64,,38,90
6,"[np.str_('PBAT'), np.str_('PCL')]","['ecoflex® F Blend C1200', 'Capa 6500']","[0.7177569387656424, 0.28224306123435755]","PBAT, ecoflex® F Blend C1200, 0.7177569387656424, PCL, Capa 6500, 0.28224306123435755",100,36.08,,38,90
6,"[np.str_('PBAT'), np.str_('PCL')]","['ecoflex® F Blend C1200', 'Capa 6500']","[0.7177569387656424, 0.28224306123435755]","PBAT, ecoflex® F Blend C1200, 0.7177569387656424, PCL, Capa 6500, 0.28224306123435755",120,40.75,,38,90
6,"[np.str_('PBAT'), np.str_('PCL')]","['ecoflex® F Blend C1200', 'Capa 6500']","[0.7177569387656424, 0.28224306123435755]","PBAT, ecoflex® F Blend C1200, 0.7177569387656424, PCL, Capa 6500, 0.28224306123435755",140,40.54,,38,90
6,"[np.str_('PBAT'), np.str_('PCL')]","['ecoflex® F Blend C1200', 'Capa 6500']","[0.7177569387656424, 0.28224306123435755]","PBAT, ecoflex® F Blend C1200, 0.7177569387656424, PCL, Capa 6500, 0.28224306123435755",160,41.32,,38,90
6,"[np.str_('PBAT'), np.str_('PCL')]","['ecoflex® F Blend C1200', 'Capa 6500']","[0.7177569387656424, 0.28224306123435755]","PBAT, ecoflex® F Blend C1200, 0.7177569387656424, PCL, Capa 6500, 0.28224306123435755",180,40.75,,38,90
6,"[np.str_('PBAT'), np.str_('PCL')]","['ecoflex® F Blend C1200', 'Capa 6500']","[0.7177569387656424, 0.28224306123435755]","PBAT, ecoflex® F Blend C1200, 0.7177569387656424, PCL, Capa 6500, 0.28224306123435755",200,40.28,,38,90
7,"[np.str_('PLA'), np.str_('PCL')]","['4032D', 'Capa 6500']","[0.5430003106251913, 0.4569996893748088]","PLA, 4032D, 0.5430003106251913, PCL, Capa 6500, 0.4569996893748088",20,35.57,,38,90
7,"[np.str_('PLA'), np.str_('PCL')]","['4032D', 'Capa 6500']","[0.5430003106251913, 0.4569996893748088]","PLA, 4032D, 0.5430003106251913, PCL, Capa 6500, 0.4569996893748088",40,43.2,,38,90
7,"[np.str_('PLA'), np.str_('PCL')]","['4032D', 'Capa 6500']","[0.5430003106251913, 0.4569996893748088]","PLA, 4032D, 0.5430003106251913, PCL, Capa 6500, 0.4569996893748088",60,49.3,,38,90
7,"[np.str_('PLA'), np.str_('PCL')]","['4032D', 'Capa 6500']","[0.5430003106251913, 0.4569996893748088]","PLA, 4032D, 0.5430003106251913, PCL, Capa 6500, 0.4569996893748088",80,53.21,,38,90
7,"[np.str_('PLA'), np.str_('PCL')]","['4032D', 'Capa 6500']","[0.5430003106251913, 0.4569996893748088]","PLA, 4032D, 0.5430003106251913, PCL, Capa 6500, 0.4569996893748088",100,57.48,,38,90
7,"[np.str_('PLA'), np.str_('PCL')]","['4032D', 'Capa 6500']","[0.5430003106251913, 0.4569996893748088]","PLA, 4032D, 0.5430003106251913, PCL, Capa 6500, 0.4569996893748088",120,59.19,,38,90
7,"[np.str_('PLA'), np.str_('PCL')]","['4032D', 'Capa 6500']","[0.5430003106251913, 0.4569996893748088]","PLA, 4032D, 0.5430003106251913, PCL, Capa 6500, 0.4569996893748088",140,59.57,,38,90
7,"[np.str_('PLA'), np.str_('PCL')]","['4032D', 'Capa 6500']","[0.5430003106251913, 0.4569996893748088]","PLA, 4032D, 0.5430003106251913, PCL, Capa 6500, 0.4569996893748088",160,60.61,,38,90
7,"[np.str_('PLA'), np.str_('PCL')]","['4032D', 'Capa 6500']","[0.5430003106251913, 0.4569996893748088]","PLA, 4032D, 0.5430003106251913, PCL, Capa 6500, 0.4569996893748088",180,62.59,,38,90
7,"[np.str_('PLA'), np.str_('PCL')]","['4032D', 'Capa 6500']","[0.5430003106251913, 0.4569996893748088]","PLA, 4032D, 0.5430003106251913, PCL, Capa 6500, 0.4569996893748088",200,62.76,,38,90
8,"[np.str_('PBAT'), np.str_('PHA')]","['ecoflex® F Blend C1200', 'PHACT A1000P']","[0.5750234068720771, 0.42497659312792274]","PBAT, ecoflex® F Blend C1200, 0.5750234068720771, PHA, PHACT A1000P, 0.42497659312792274",20,27.24,,38,90
8,"[np.str_('PBAT'), np.str_('PHA')]","['ecoflex® F Blend C1200', 'PHACT A1000P']","[0.5750234068720771, 0.42497659312792274]","PBAT, ecoflex® F Blend C1200, 0.5750234068720771, PHA, PHACT A1000P, 0.42497659312792274",40,33.94,,38,90
8,"[np.str_('PBAT'), np.str_('PHA')]","['ecoflex® F Blend C1200', 'PHACT A1000P']","[0.5750234068720771, 0.42497659312792274]","PBAT, ecoflex® F Blend C1200, 0.5750234068720771, PHA, PHACT A1000P, 0.42497659312792274",60,34.19,,38,90
8,"[np.str_('PBAT'), np.str_('PHA')]","['ecoflex® F Blend C1200', 'PHACT A1000P']","[0.5750234068720771, 0.42497659312792274]","PBAT, ecoflex® F Blend C1200, 0.5750234068720771, PHA, PHACT A1000P, 0.42497659312792274",80,34.75,,38,90
8,"[np.str_('PBAT'), np.str_('PHA')]","['ecoflex® F Blend C1200', 'PHACT A1000P']","[0.5750234068720771, 0.42497659312792274]","PBAT, ecoflex® F Blend C1200, 0.5750234068720771, PHA, PHACT A1000P, 0.42497659312792274",100,39.86,,38,90
8,"[np.str_('PBAT'), np.str_('PHA')]","['ecoflex® F Blend C1200', 'PHACT A1000P']","[0.5750234068720771, 0.42497659312792274]","PBAT, ecoflex® F Blend C1200, 0.5750234068720771, PHA, PHACT A1000P, 0.42497659312792274",120,46.09,,38,90
8,"[np.str_('PBAT'), np.str_('PHA')]","['ecoflex® F Blend C1200', 'PHACT A1000P']","[0.5750234068720771, 0.42497659312792274]","PBAT, ecoflex® F Blend C1200, 0.5750234068720771, PHA, PHACT A1000P, 0.42497659312792274",140,47.16,,38,90
8,"[np.str_('PBAT'), np.str_('PHA')]","['ecoflex® F Blend C1200', 'PHACT A1000P']","[0.5750234068720771, 0.42497659312792274]","PBAT, ecoflex® F Blend C1200, 0.5750234068720771, PHA, PHACT A1000P, 0.42497659312792274",160,47.49,,38,90
8,"[np.str_('PBAT'), np.str_('PHA')]","['ecoflex® F Blend C1200', 'PHACT A1000P']","[0.5750234068720771, 0.42497659312792274]","PBAT, ecoflex® F Blend C1200, 0.5750234068720771, PHA, PHACT A1000P, 0.42497659312792274",180,47.37,,38,90
8,"[np.str_('PBAT'), np.str_('PHA')]","['ecoflex® F Blend C1200', 'PHACT A1000P']","[0.5750234068720771, 0.42497659312792274]","PBAT, ecoflex® F Blend C1200, 0.5750234068720771, PHA, PHACT A1000P, 0.42497659312792274",200,47.28,,38,90
