test_id,n_polymers,blend_type,materials,polymer_types,blend_input,success,ts,error,thickness
38,2,random_sample_1,"['PHB Biocycle 1000', 'PCL Capa 6500']","['PHB', 'PCL']","PHB, Biocycle 1000, 0.40667945310527304, PCL, Capa 6500, 0.593320546894727",True,37.69,,100
39,2,random_sample_2,"['PHB Biocycle 1000', 'PCL Capa 6500']","['PHB', 'PCL']","PHB, Biocycle 1000, 0.38317905599017404, PCL, Capa 6500, 0.6168209440098259",True,37.03,,100
40,2,equal,"['PHA PHACT A1000P', 'PGA Kuredux PGA']","['PHA', 'PGA']","PHA, PHACT A1000P, 0.5, PGA, Kuredux PGA, 0.5",True,62.89,,100
41,2,random_sample_1,"['PHA PHACT A1000P', 'PGA Kuredux PGA']","['PHA', 'PGA']","PHA, PHACT A1000P, 0.024774367408571668, PGA, Kuredux PGA, 0.9752256325914284",True,153.35,,100
42,2,random_sample_2,"['PHA PHACT A1000P', 'PGA Kuredux PGA']","['PHA', 'PGA']","PHA, PHACT A1000P, 0.2575121591246784, PGA, Kuredux PGA, 0.7424878408753217",True,80.76,,100
43,2,equal,"['PHA PHACT A1000P', 'PBAT ecoflex® F Blend C1200']","['PHA', 'PBAT']","PHA, PHACT A1000P, 0.5, PBAT, ecoflex® F Blend C1200, 0.5",True,39.65,,100
44,2,random_sample_1,"['PHA PHACT A1000P', 'PBAT ecoflex® F Blend C1200']","['PHA', 'PBAT']","PHA, PHACT A1000P, 0.9937191001860382, PBAT, ecoflex® F Blend C1200, 0.006280899813961981",True,44.72,,100
45,2,random_sample_2,"['PHA PHACT A1000P', 'PBAT ecoflex® F Blend C1200']","['PHA', 'PBAT']","PHA, PHACT A1000P, 0.9924406100043973, PBAT, ecoflex® F Blend C1200, 0.007559389995602701",True,45.14,,100
46,2,equal,"['PHA PHACT A1000P', 'PBS BioPBS FZ91']","['PHA', 'PBS']","PHA, PHACT A1000P, 0.5, PBS, BioPBS FZ91, 0.5",True,48.2,,100
47,2,random_sample_1,"['PHA PHACT A1000P', 'PBS BioPBS FZ91']","['PHA', 'PBS']","PHA, PHACT A1000P, 0.9355538755630597, PBS, BioPBS FZ91, 0.06444612443694028",True,49.37,,100
48,2,random_sample_2,"['PHA PHACT A1000P', 'PBS BioPBS FZ91']","['PHA', 'PBS']","PHA, PHACT A1000P, 0.9914783088395009, PBS, BioPBS FZ91, 0.008521691160498978",True,45.59,,100
49,2,equal,"['PHA PHACT A1000P', ""Bio-PE I'm green STN7006""]","['PHA', 'Bio-PE']","PHA, PHACT A1000P, 0.5, Bio-PE, I'm green STN7006, 0.5",True,45.82,,100
50,2,random_sample_1,"['PHA PHACT A1000P', ""Bio-PE I'm green STN7006""]","['PHA', 'Bio-PE']","PHA, PHACT A1000P, 0.1312010635433048, Bio-PE, I'm green STN7006, 0.8687989364566951",True,34.27,,100
51,2,random_sample_2,"['PHA PHACT A1000P', ""Bio-PE I'm green STN7006""]","['PHA', 'Bio-PE']","PHA, PHACT A1000P, 0.24152362356917326, Bio-PE, I'm green STN7006, 0.7584763764308268",True,37.6,,100
52,2,equal,"['PHA PHACT A1000P', 'PCL Capa 6500']","['PHA', 'PCL']","PHA, PHACT A1000P, 0.5, PCL, Capa 6500, 0.5",True,44.43,,100
53,2,random_sample_1,"['PHA PHACT A1000P', 'PCL Capa 6500']","['PHA', 'PCL']","PHA, PHACT A1000P, 0.710415218236302, PCL, Capa 6500, 0.2895847817636979",True,46.42,,100
54,2,random_sample_2,"['PHA PHACT A1000P', 'PCL Capa 6500']","['PHA', 'PCL']","PHA, PHACT A1000P, 0.15990461048048416, PCL, Capa 6500, 0.8400953895195159",True,36.6,,100
55,2,equal,"['PGA Kuredux PGA', 'PBAT ecoflex® F Blend C1200']","['PGA', 'PBAT']","PGA, Kuredux PGA, 0.5, PBAT, ecoflex® F Blend C1200, 0.5",True,66.63,,100
56,2,random_sample_1,"['PGA Kuredux PGA', 'PBAT ecoflex® F Blend C1200']","['PGA', 'PBAT']","PGA, Kuredux PGA, 0.9509810151545912, PBAT, ecoflex® F Blend C1200, 0.04901898484540888",True,170.23,,100
57,2,random_sample_2,"['PGA Kuredux PGA', 'PBAT ecoflex® F Blend C1200']","['PGA', 'PBAT']","PGA, Kuredux PGA, 0.3288478596607666, PBAT, ecoflex® F Blend C1200, 0.6711521403392334",True,44.55,,100
58,2,equal,"['PGA Kuredux PGA', 'PBS BioPBS FZ91']","['PGA', 'PBS']","PGA, Kuredux PGA, 0.5, PBS, BioPBS FZ91, 0.5",True,67.35,,100
59,2,random_sample_1,"['PGA Kuredux PGA', 'PBS BioPBS FZ91']","['PGA', 'PBS']","PGA, Kuredux PGA, 0.5978104276738567, PBS, BioPBS FZ91, 0.40218957232614333",True,78.75,,100
60,2,random_sample_2,"['PGA Kuredux PGA', 'PBS BioPBS FZ91']","['PGA', 'PBS']","PGA, Kuredux PGA, 0.8465245606418442, PBS, BioPBS FZ91, 0.15347543935815572",True,155.9,,100
61,2,equal,"['PGA Kuredux PGA', ""Bio-PE I'm green STN7006""]","['PGA', 'Bio-PE']","PGA, Kuredux PGA, 0.5, Bio-PE, I'm green STN7006, 0.5",True,43.11,,100
62,2,random_sample_1,"['PGA Kuredux PGA', ""Bio-PE I'm green STN7006""]","['PGA', 'Bio-PE']","PGA, Kuredux PGA, 0.8401394249328034, Bio-PE, I'm green STN7006, 0.15986057506719664",True,102.24,,100
63,2,random_sample_2,"['PGA Kuredux PGA', ""Bio-PE I'm green STN7006""]","['PGA', 'Bio-PE']","PGA, Kuredux PGA, 0.9077139031726609, Bio-PE, I'm green STN7006, 0.09228609682733917",True,135.92,,100
